"","superkingdom","phylum","class","order","family","genus","species"
"aebb5b4329c867d3dedc834144ed9466","Eukaryota",NA,NA,NA,NA,NA,NA
"b717d857947afae2fb8163837f0e66bc","Eukaryota",NA,NA,NA,NA,NA,NA
"a0fb331c61e9fbd440c1bb8c50d741be","Eukaryota",NA,NA,NA,NA,NA,NA
"ccfa1921eb1834b57b4f208ee84eb050","Eukaryota",NA,NA,NA,NA,NA,NA
"cce3cea1ca1bdefa859ebf55768e1a5d","Eukaryota",NA,NA,NA,NA,NA,NA
"9a840482eb55763d25a47cfb5e97f981","Eukaryota",NA,NA,NA,NA,NA,NA
"57e6749f6028f32bf688257e37f2ab15","Eukaryota",NA,NA,NA,NA,NA,NA
"09c9d7dd09b5a07339c209a1d5eab665","Eukaryota",NA,NA,NA,NA,NA,NA
"fa9f371a910fc264bc0dbfb9aae3ac91","Eukaryota",NA,NA,NA,NA,NA,NA
"5d9c818d48cccf9ab65a00d8491b840a","Eukaryota",NA,NA,NA,NA,NA,NA
"6913c54a4f85bbfba4b38f0bfcd03ccc","Eukaryota",NA,NA,NA,NA,NA,NA
"6c6586a8bf44a25eb2dc5db594624b08","Eukaryota",NA,NA,NA,NA,NA,NA
"b1e7a85a7ae93c39fab0ad3053782c9c","Eukaryota",NA,NA,NA,NA,NA,NA
"afe1389312a4f9c9584890fe9e096d42","Eukaryota",NA,NA,NA,NA,NA,NA
"0d76864d3784f19ef4cbb7a4830533da","Eukaryota",NA,NA,NA,NA,NA,NA
"835aaa98f88944aca4ea31e17d35327f","Eukaryota",NA,NA,NA,NA,NA,NA
"415c7f541f41645b5870d5eccf294091","Eukaryota",NA,NA,NA,NA,NA,NA
"2ba1d44221382b8edff8240dba7c820a","Eukaryota",NA,NA,NA,NA,NA,NA
"a003fce2f94f82622fde3a80c679e0c9","Eukaryota",NA,NA,NA,NA,NA,NA
"56fcad01f8eb39825b00290cbf0b0525","Eukaryota",NA,NA,NA,NA,NA,NA
"fbfd24afd5c1c152429baddddeeee51e","Eukaryota","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium oxysporum"
"b2714ab9d9d62082d1b2cecb344249ac","Eukaryota","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA
"0ec4166e990f4bce9c41a45c6bfabe57","Eukaryota","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium sp."
"6d92a820fefa7e60f9754e834492bca5","Eukaryota","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium sp."
"eca5d061b065ce7a9f26643ca453b279","Eukaryota","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium sp."
"e8e036dcca256f602ce42c43a817c5cb","Eukaryota",NA,NA,NA,NA,NA,NA
"139db870c71ab8331f6bd0f3f00d72a9","Eukaryota",NA,NA,NA,NA,NA,NA
"071b5063773f0abeb22e207f86d9c40e","Eukaryota","Ascomycota","Dothideomycetes",NA,NA,NA,NA
"46931b15693b1ce03357299bb8f3ea8e",NA,NA,NA,NA,NA,NA,NA
"4c8d064e75e78813be084bd15a8d590c",NA,NA,NA,NA,NA,NA,NA
"66bbd00d51403d6141fa0caf27dfa226","Eukaryota","Ascomycota","Dothideomycetes",NA,NA,NA,NA
"9dbcb4bb0ad064d4be738962ee7c3098","Eukaryota","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia sp. (in: Fungi)"
"3f9e068c3bacb1d0e74789bf6ba4d68e",NA,NA,NA,NA,NA,NA,NA
"814ff4ad3b9a1fe8c306831dd5d641d7","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium olsonii"
"06f6b14ed4ad12b1ed6d26fbb336686f","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium olsonii"
"1f37fc22a7d7a17a829242f4ef2b9cdd","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium olsonii"
"7778db660101e6c1283c4255d38e186c","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium olsonii"
"5433f7bc417b8c1dc2aea19f20ea73e8","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium olsonii"
"2d738614ffce1cfbff3c9149936a5d01","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium olsonii"
"6384f47b1346fbdba2a2f1f4a17a7585","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium olsonii"
"42465daa76a942730bdfa53d8028f470","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium olsonii"
"c3b107e6ffeb40aa3c864e8474c7da75","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium olsonii"
"031ecbda021c336124e7c79dec03bd49","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium olsonii"
"7c609bfe31bb9bc9be517fa0c96635d0","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium olsonii"
"59c89ed82838d7db7b14ff57f2021001","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium olsonii"
"47ccc92fde73e4ad8e57f98fe0fe6d21","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium olsonii"
"a7ddb7351b639109030dca327fb7a474","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium olsonii"
"7e5d592f3cd80b11e3144fd8c1039670","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium olsonii"
"f94a820f5ddde8eecf0c3746737a09a3","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium olsonii"
"876c7b71b2faf0f81cda04da588c6ba2","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium olsonii"
"6dfe7832c317edb3df5d8b08c1fa5c4c","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium olsonii"
"7fadf82dc5aa039f34173618c5255997","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium olsonii"
"673569c22411006dc8724d266908c416","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium olsonii"
"1c981ae6c9a96a61354a8c11545d25f2","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium olsonii"
"17f7d63cff11aa506d81a4a2323d792b","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium olsonii"
"4390bf0ad55e90f0c6da80517238f975","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium olsonii"
"8da372aed3793e84a7fcff06458b04fc","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium olsonii"
"3f278164fcc0523f7876de724d190b20",NA,NA,NA,NA,NA,NA,NA
"52fef355732a5ecc553804a811b126cf","Eukaryota",NA,NA,NA,NA,NA,NA
"37986cff69676fb255f5327a30da0d55","Eukaryota","Ascomycota",NA,NA,NA,NA,NA
"577feda27bfc2ee12b8831a248febec9","Eukaryota","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Stachybotrys",NA
"d6e085204c7025b9adc50fa3b20739ec","Eukaryota","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyalopeziza","Hyalopeziza raripila"
"a096f169f1f2d390d601d9beafba1969","Eukaryota","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",NA,"Phaeosphaeriaceae sp."
"748cbb8f865fd9cbdb8e4fd8aeb0636e",NA,NA,NA,NA,NA,NA,NA
"6b4c9ac6b2788c4895e8d6ffc3db169c",NA,NA,NA,NA,NA,NA,NA
"fd4612f6c046b379bcbbebf9f913b52e",NA,NA,NA,NA,NA,NA,NA
"dd72428aa90ae82f3de150ee1da7e6a3","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae",NA,NA
"f52d3fcc2b775074580ca9e95a655af4","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae",NA,NA
"fb41c209d8c39244ef06b6a90ece11d3","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae",NA,NA
"8e28986a138f121fcf78e769fec5cbc8","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae",NA,NA
"0ce462a74bd9d3c9d3d8c2fe6d51a304","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae",NA,NA
"bfb0226c27fef4f15ffa5a33c6e63e77","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae",NA,NA
"ed94f2ad12abc1c1deddb9b3497129f5","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae",NA,NA
"854ffa0d4680b26e64ce8fe0b9dd6f4f","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae",NA,NA
"7f3f5ef21fef5d685d97cab1c81e870a","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae",NA,NA
"7eb57ef27712a0ad9b2cdc6501021439","Eukaryota","Ascomycota","Dothideomycetes",NA,NA,"Ramimonilia","Ramimonilia apicalis"
"7eb0f733c5121ef99eb6e15f30640cd9","Eukaryota","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Naganishia","Naganishia uzbekistanensis"
"0186bcffab64eb33475974ab3cbc46be","Eukaryota","Basidiomycota","Agaricomycetes","Geastrales","Geastraceae","Geastrum","Geastrum triplex"
"308ba861a6eb37f45b8bfcf415729c31","Eukaryota","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Ramularia","Ramularia glennii"
