"","superkingdom","phylum","class","order","family","genus","species"
"f41314d6b7a8283dd719c39acfc5bf76","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Weissella","Weissella confusa"
"8e6cee6a469dba1066daffee0a07b2c3","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Alteriqipengyuania","Alteriqipengyuania halimionae"
"8131ebfe1172bdeaaaffeb8b34c908c9","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Croceicoccus","Croceicoccus ponticola"
"11337c9141fe93109dd82a788861318f","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"460215d485c751f2a810be3742a2c54d","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides pelophilus"
"423c2ab7840f6843a2747cd67ff7acac","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Marmoricola",NA
"0ec61c9841126b28fbb58a53855a1a70","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Marmoricola","Marmoricola aequoreus"
"f85256c26e3f7fde494706f5b318ef6f","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Marmoricola",NA
"051753c6d56897baad5c2fc938b7e070","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides panacis"
"28df2f9e6a2eca0b540a96b5663fb65c","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"25490aa2038c80d0c77a496b2250185e","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides guangzhouensis"
"89431032446eb31718201a0cd59ba387","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"1130689728c55f72eb1d23cd151b0512",NA,NA,NA,NA,NA,NA,NA
"2b8d227603368fe049b03c32e696920c",NA,NA,NA,NA,NA,NA,NA
"6adc05fdfc5bca644e39c5e003333aaf","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides nanhaiensis"
